[06 oct. 9:48:35] Created new character L2PcInstance:THUNDERBOLT[268480697] [Account: admin - IP: 127.0.0.1].
[22 mar. 18:39:42] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:40:38] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:41:22] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:42:42] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:43:41] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:45:18] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:46:48] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:17:31] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:17:44] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:18:29] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:43:02] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:43:14] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:45:11] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 19:51:19] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:13:43] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:13:52] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:35:57] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:36:21] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:37:03] Logged out, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:37:05] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:37:13] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:38:30] Logged out, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:38:33] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 20:48:47] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 21:09:54] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 21:10:19] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:00:46] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:38:02] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:38:13] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:42:25] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:42:45] Logged in, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:46:20] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 22:48:03] Logged in, GOD(268480685) makusanagi 127.0.0.1
[23 mar. 0:48:42] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 10:54:46] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 10:54:57] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:44:48] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:47:40] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:47:59] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:48:09] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:58:58] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 11:59:17] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:07:53] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:08:17] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:18:26] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:18:46] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:19:53] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:21:52] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:40:08] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:40:24] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:41:40] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:42:00] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 12:42:12] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 13:43:50] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 13:45:05] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 13:46:58] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 14:21:52] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 14:25:43] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 14:26:01] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 14:26:13] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 14:33:24] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 15:29:33] Logged in, GOD(268480685) makusanagi 127.0.0.1
[24 mar. 15:30:04] Disconnected, GOD(268480685) makusanagi 127.0.0.1
